Spanwise_Location_m,Lift_Distribution_N_per_m
-6.316050981,0
-6.252573082,629.2533433
-6.189095183,887.6485489
-6.125617283,1084.380251
-6.062139384,1248.936155
-5.998661485,1392.768076
-5.935183586,1521.763686
-5.871705686,1639.428841
-5.808227787,1748.053071
-5.744749888,1849.230261
-5.681271988,1944.123449
-5.617794089,2033.612505
-5.55431619,2118.382416
-5.49083829,2198.979015
-5.427360391,2275.845724
-5.363882492,2349.34868
-5.300404592,2419.79443
-5.236926693,2487.442734
-5.173448794,2552.51602
-5.109970895,2615.206515
-5.046492995,2675.681709
-4.983015096,2734.088606
-4.919537197,2790.557079
-4.856059297,2845.202545
-4.792581398,2898.128126
-4.729103499,2949.426412
-4.665625599,2999.180903
-4.6021477,3047.467215
-4.538669801,3094.354079
-4.475191901,3139.904189
-4.411714002,3184.174912
-4.348236103,3227.2189
-4.284758203,3269.084611
-4.221280304,3309.816758
-4.157802405,3349.456695
-4.094324506,3388.042759
-4.030846606,3425.610563
-3.967368707,3462.193254
-3.903890808,3497.821741
-3.840412908,3532.524897
-3.776935009,3566.329733
-3.71345711,3599.261561
-3.64997921,3631.344134
-3.586501311,3662.599767
-3.523023412,3693.049458
-3.459545512,3722.712982
-3.396067613,3751.608989
-3.332589714,3779.755081
-3.269111815,3807.167889
-3.205633915,3833.863145
-3.142156016,3859.855735
-3.078678117,3885.159763
-3.015200217,3909.788598
-2.951722318,3933.754921
-2.888244419,3957.070771
-2.824766519,3979.74758
-2.76128862,4001.796212
-2.697810721,4023.226994
-2.634332821,4044.04975
-2.570854922,4064.273824
-2.507377023,4083.908112
-2.443899123,4102.961079
-2.380421224,4121.440789
-2.316943325,4139.354918
-2.253465426,4156.71078
-2.189987526,4173.515339
-2.126509627,4189.775229
-2.063031728,4205.496767
-1.999553828,4220.68597
-1.936075929,4235.348564
-1.87259803,4249.490001
-1.80912013,4263.115467
-1.745642231,4276.229894
-1.682164332,4288.83797
-1.618686432,4300.944148
-1.555208533,4312.552656
-1.491730634,4323.667501
-1.428252734,4334.292481
-1.364774835,4344.431191
-1.301296936,4354.087027
-1.237819037,4363.263195
-1.174341137,4371.962716
-1.110863238,4380.188429
-1.047385339,4387.942999
-0.983907439,4395.22892
-0.92042954,4402.048519
-0.856951641,4408.40396
-0.793473741,4414.297248
-0.729995842,4419.730232
-0.666517943,4424.704606
-0.603040043,4429.221917
-0.539562144,4433.283561
-0.476084245,4436.89079
-0.412606346,4440.044711
-0.349128446,4442.74629
-0.285650547,4444.996351
-0.222172648,4446.795581
-0.158694748,4448.144525
-0.095216849,4449.043595
-0.03173895,4449.493061
0.03173895,4449.493061
0.095216849,4449.043595
0.158694748,4448.144525
0.222172648,4446.795581
0.285650547,4444.996351
0.349128446,4442.74629
0.412606346,4440.044711
0.476084245,4436.89079
0.539562144,4433.283561
0.603040043,4429.221917
0.666517943,4424.704606
0.729995842,4419.730232
0.793473741,4414.297248
0.856951641,4408.40396
0.92042954,4402.048519
0.983907439,4395.22892
1.047385339,4387.942999
1.110863238,4380.188429
1.174341137,4371.962716
1.237819037,4363.263195
1.301296936,4354.087027
1.364774835,4344.431191
1.428252734,4334.292481
1.491730634,4323.667501
1.555208533,4312.552656
1.618686432,4300.944148
1.682164332,4288.83797
1.745642231,4276.229894
1.80912013,4263.115467
1.87259803,4249.490001
1.936075929,4235.348564
1.999553828,4220.68597
2.063031728,4205.496767
2.126509627,4189.775229
2.189987526,4173.515339
2.253465426,4156.71078
2.316943325,4139.354918
2.380421224,4121.440789
2.443899123,4102.961079
2.507377023,4083.908112
2.570854922,4064.273824
2.634332821,4044.04975
2.697810721,4023.226994
2.76128862,4001.796212
2.824766519,3979.74758
2.888244419,3957.070771
2.951722318,3933.754921
3.015200217,3909.788598
3.078678117,3885.159763
3.142156016,3859.855735
3.205633915,3833.863145
3.269111815,3807.167889
3.332589714,3779.755081
3.396067613,3751.608989
3.459545512,3722.712982
3.523023412,3693.049458
3.586501311,3662.599767
3.64997921,3631.344134
3.71345711,3599.261561
3.776935009,3566.329733
3.840412908,3532.524897
3.903890808,3497.821741
3.967368707,3462.193254
4.030846606,3425.610563
4.094324506,3388.042759
4.157802405,3349.456695
4.221280304,3309.816758
4.284758203,3269.084611
4.348236103,3227.2189
4.411714002,3184.174912
4.475191901,3139.904189
4.538669801,3094.354079
4.6021477,3047.467215
4.665625599,2999.180903
4.729103499,2949.426412
4.792581398,2898.128126
4.856059297,2845.202545
4.919537197,2790.557079
4.983015096,2734.088606
5.046492995,2675.681709
5.109970895,2615.206515
5.173448794,2552.51602
5.236926693,2487.442734
5.300404592,2419.79443
5.363882492,2349.34868
5.427360391,2275.845724
5.49083829,2198.979015
5.55431619,2118.382416
5.617794089,2033.612505
5.681271988,1944.123449
5.744749888,1849.230261
5.808227787,1748.053071
5.871705686,1639.428841
5.935183586,1521.763686
5.998661485,1392.768076
6.062139384,1248.936155
6.125617283,1084.380251
6.189095183,887.6485489
6.252573082,629.2533433
6.316050981,0
